N,c,seed,init_nodes,init_mode,delta,xi,d,max_time,buffer_dim,num_nodes,num_edges,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,K_gap_NS_minus_GL
200,2,1,5,complete,0.9,0.02,2,200,5000,200,506,4.1246,55.7027,59.82734496078491,21.0,200.0067,22,1.0
200,2,21,5,complete,0.9,0.02,2,200,5000,200,496,4.0269,196.4093,200.43618506851197,21.0,200.0054,22,1.0
200,2,42,5,complete,0.9,0.02,2,200,5000,200,514,4.1295,86.8968,91.02631911468507,16.0,200.0079,16,0.0
200,2,53,5,complete,0.9,0.02,2,200,5000,200,488,3.9697,94.2181,98.18782701225281,16.0,200.0108,16,0.0
200,2,99,5,complete,0.9,0.02,2,200,5000,200,502,4.0202,196.9981,201.01834200401305,24.0,200.0086,23,-1.0
400,2,1,5,complete,0.9,0.02,2,400,5000,400,1037,32.4996,369.8059,402.30554491958617,21.0,400.0159,13,-8.0
400,2,21,5,complete,0.9,0.02,2,400,5000,400,997,31.3054,369.9488,401.2541500190735,29.0,400.0128,30,1.0
400,2,42,5,complete,0.9,0.02,2,400,5000,400,1009,31.3406,370.9693,402.3099398475647,203.0,400.0156,29,-174.0
400,2,53,5,complete,0.9,0.02,2,400,5000,400,987,31.3732,369.9785,401.3517089492798,17.0,400.0264,15,-2.0
400,2,99,5,complete,0.9,0.02,2,400,5000,400,989,32.3056,368.5446,400.8502221828461,16.0,400.0157,13,-3.0
600,2,1,5,complete,0.9,0.02,2,600,5000,600,1535,118.3107,560.1637,678.4744279987335,293.0,600.0327,27,-266.0
600,2,21,5,complete,0.9,0.02,2,600,5000,600,1483,110.4664,503.2657,613.7321399177551,,600.0232,58,
600,2,42,5,complete,0.9,0.02,2,600,5000,600,1519,114.0199,549.5054,663.5253121017456,297.0,600.0259,24,-273.0
600,2,53,5,complete,0.9,0.02,2,600,5000,600,1481,111.3362,554.4852,665.8213820468902,299.0,600.0419,77,-222.0
600,2,99,5,complete,0.9,0.02,2,600,5000,600,1479,114.1592,536.9202,651.0793738834382,,600.045,37,
