algorithm,N,c,seed,max_time,k,spread,spread_ratio,runtime_s,wall_s,history_len
NaDS_v1,1000,1,42,1000.0,56,1000,1.0,1006.938,1006.9380292920396,5
NaDS_v2,1000,1,42,1000.0,64,1000,1.0,1001.7925,1001.7928933330113,6
NaDS_v2_skip_mg,1000,1,42,1000.0,57,1000,1.0,1006.857,1006.8575693750754,7
NaDS_v1,1000,20,42,1000.0,84,1000,1.0,1000.0452,1000.0452317090239,5
NaDS_v2,1000,20,42,1000.0,89,1000,1.0,1000.6207,1000.620784125058,6
NaDS_v2_skip_mg,1000,20,42,1000.0,82,1000,1.0,1012.6277,1012.6278544169618,7
NaDS_v1,2000,1,42,2000.0,97,2000,1.0,2000.2576,2000.2576226249803,5
NaDS_v2,2000,1,42,2000.0,101,2000,1.0,2062.7805,2062.7820242079906,5
NaDS_v2_skip_mg,2000,1,42,2000.0,98,2000,1.0,2041.898,2041.8999320839066,7
NaDS_v1,2000,20,42,2000.0,147,2000,1.0,2000.1226,2000.122624374926,8
NaDS_v2,2000,20,42,2000.0,163,2000,1.0,2000.8151,2000.8152443330036,5
NaDS_v2_skip_mg,2000,20,42,2000.0,163,2000,1.0,2000.1092,2000.1097123749787,7
